speaker_id,line_num,sent_num,token_num,pos_tuple,pos,token_str,term_str,term_id,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,polarity
201,1,0,0,"('Good', 'JJ')",JJ,Good,good,542,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
201,1,0,1,"('morning', 'NN')",NN,morning,morning,828,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,0,2,"('class', 'NN')",NN,class,class,231,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,1,0,"('I', 'PRP')",PRP,I,i,621,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,1,1,"(""'m"", 'VBP')",VBP,'m,m,764,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,1,2,"('Ms.', 'NNP')",NNP,Ms.,ms,838,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,1,3,"('Tachi', 'NNP')",NNP,Tachi,tachi,1298,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,2,0,"('How', 'WRB')",WRB,How,how,613,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,2,1,"('are', 'VBP')",VBP,are,are,86,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,2,2,"('you', 'PRP')",PRP,you,you,1545,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,2,3,"('all', 'DT')",DT,all,all,43,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,1,2,4,"('today', 'NN')",NN,today,today,1372,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,0,0,"('Good', 'JJ')",JJ,Good,good,542,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
201,3,1,0,"('That', 'DT')",DT,That,that,1333,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,1,1,"(""'s"", 'VBZ')",VBZ,'s,s,1132,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,1,2,"('good', 'JJ')",JJ,good,good,542,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
201,3,1,3,"('to', 'TO')",TO,to,to,1371,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,1,4,"('hear', 'VB')",VB,hear,hear,582,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,2,0,"('So', 'RB')",RB,So,so,1215,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,2,1,"('today', 'NN')",NN,today,today,1372,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,2,2,"('we', 'PRP')",PRP,we,we,1479,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,2,3,"(""'re"", 'VBP')",VBP,'re,re,1041,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
201,3,2,4,"('gon', 'VBG')",VBG,gon,gon,540,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
